EAR,MAR,TIME
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20509253861225019,0.6055175020198813,15:53:35.977979
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20509253861225019,0.6055175020198813,15:53:35.977979
0.2076065722803802,0.4699673171197595,15:53:36.250939
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20509253861225019,0.6055175020198813,15:53:35.977979
0.2076065722803802,0.4699673171197595,15:53:36.250939
0.22306205287130934,0.7401464457343166,15:53:36.531313
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20509253861225019,0.6055175020198813,15:53:35.977979
0.2076065722803802,0.4699673171197595,15:53:36.250939
0.22306205287130934,0.7401464457343166,15:53:36.531313
0.22222728132372654,0.5694254176766073,15:53:36.800450
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20509253861225019,0.6055175020198813,15:53:35.977979
0.2076065722803802,0.4699673171197595,15:53:36.250939
0.22306205287130934,0.7401464457343166,15:53:36.531313
0.22222728132372654,0.5694254176766073,15:53:36.800450
0.21122565427211354,0.636092084343274,15:53:37.063398
0.20878224883416463,0.6055175020198813,15:53:34.564429
0.219061627141112,0.3699673171197595,15:53:35.101216
0.2203359812486237,0.5,15:53:35.428842
0.1905114206721782,0.36666666666666664,15:53:35.705706
0.20509253861225019,0.6055175020198813,15:53:35.977979
0.2076065722803802,0.4699673171197595,15:53:36.250939
0.22306205287130934,0.7401464457343166,15:53:36.531313
